user_id,group,entry_date,converted,session_duration_sec,clicked_prompt,plan_type,device
C00555,control,2024-11-30,0,244.19062679275973,0,standard,desktop
T01491,treatment,2024-11-29,0,448.70255866854734,0,free,mobile
C00527,control,2024-11-28,1,290.8759025222842,0,standard,mobile
T01925,treatment,2024-12-05,0,455.90554465597484,0,free,mobile
T00989,treatment,2024-12-06,0,403.61978567956834,0,free,mobile
C00070,control,2024-12-06,0,458.8651226858149,0,standard,desktop
C01756,control,2024-12-05,0,290.51496555977695,0,standard,desktop
C00211,control,2024-12-04,0,367.1831497516006,0,free,desktop
C00196,control,2024-11-26,0,304.2517362278618,0,free,desktop
C00803,control,2024-12-02,0,243.11761271179236,0,premium,desktop
T01409,treatment,2024-11-28,0,511.9488621732591,0,free,desktop
T01836,treatment,2024-11-28,1,409.606160609664,0,premium,tablet
C01146,control,2024-11-28,0,312.8791833241069,0,standard,desktop
C01498,control,2024-12-08,0,405.3232734775804,0,free,desktop
T01858,treatment,2024-11-26,0,220.76823581281332,0,premium,mobile
T01482,treatment,2024-12-01,0,416.29236592309223,0,standard,mobile
C01185,control,2024-11-30,0,309.62291913227824,0,premium,desktop
C00471,control,2024-11-26,0,136.11945544587917,1,free,mobile
C00594,control,2024-12-01,0,6231.360173129029,0,free,desktop
C00321,control,2024-12-01,0,136.10227301493234,0,premium,tablet
C01417,control,2024-12-08,0,131.04126582065354,0,standard,desktop
C01674,control,2024-12-04,0,372.77968277339835,0,free,desktop
T01590,treatment,2024-11-27,0,388.1559506647173,1,standard,mobile
C01703,control,2024-11-27,1,198.63409689736932,0,standard,desktop
T00540,treatment,2024-12-03,1,461.8501040797875,0,free,desktop
C00205,control,2024-12-06,0,389.7289766047638,0,free,desktop
T01887,treatment,2024-12-03,0,307.40203875712655,0,free,desktop
T01248,treatment,2024-12-06,0,353.76756087578815,0,free,mobile
T00131,treatment,2024-11-25,0,210.8028068749674,0,free,desktop
C01255,control,2024-11-29,0,330.2318940402144,0,free,desktop
T00299,treatment,2024-12-03,0,483.96833971716404,0,free,mobile
C01226,control,2024-12-02,1,284.87877968274677,0,free,desktop
T01918,treatment,2024-11-25,1,290.34092590761765,0,free,desktop
T00464,treatment,2024-11-29,0,251.1364564372136,0,free,tablet
T00383,treatment,2024-11-29,0,444.9449879082646,0,free,tablet
C00149,control,2024-12-01,0,265.71944896225835,0,standard,desktop
C00869,control,2024-12-03,0,167.16697699557028,0,standard,mobile
C01978,control,2024-12-03,0,165.02892292102433,0,free,desktop
T00456,treatment,2024-12-03,0,425.885409661228,0,standard,desktop
T01865,treatment,2024-11-29,0,453.8904564017194,0,standard,desktop
T00212,treatment,2024-11-25,1,352.5010815877583,0,standard,desktop
C01006,control,2024-12-02,0,425.0350106947867,0,standard,mobile
T01047,treatment,2024-12-01,1,353.2144708350816,0,free,desktop
C00705,control,2024-11-27,0,402.246509635911,0,free,desktop
T01143,treatment,2024-11-26,0,317.72165522774463,0,standard,desktop
T01596,treatment,2024-11-27,0,449.11235540221253,0,free,mobile
C01987,control,2024-11-29,0,423.98470294316087,0,premium,desktop
C00179,control,2024-11-28,0,180.71025606486432,0,free,desktop
C00109,control,2024-12-02,0,323.078136930119,1,premium,desktop
T01078,treatment,2024-11-26,0,522.532191400224,0,free,desktop
C01055,control,2024-12-03,0,224.87094257309764,0,standard,desktop
T01952,treatment,2024-11-25,0,474.43760266878735,1,free,mobile
C00314,control,2024-12-02,0,402.30039527489544,0,free,desktop
C01822,control,2024-11-27,0,251.99457857385283,0,free,mobile
C00567,control,2024-11-27,0,345.3637636251268,0,free,desktop
C00879,control,2024-12-06,0,336.67202195629426,0,premium,desktop
T00230,treatment,2024-12-06,0,191.08424087473853,0,free,mobile
C01411,control,2024-12-02,0,304.83649660141987,0,standard,desktop
T01224,treatment,2024-12-03,0,225.24158252814362,0,free,desktop
T01936,treatment,2024-12-04,0,426.7887130311923,1,free,mobile
T01249,treatment,2024-11-30,1,321.6281822903038,0,free,desktop
C00929,control,2024-12-01,0,344.74915507610655,0,free,desktop
T00578,treatment,2024-11-28,0,,0,free,tablet
T01379,treatment,2024-12-08,0,383.8908219585393,0,premium,tablet
